Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,City,Product ID,Sales,Quantity,Discount,Profit,Devolucion
CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,Claire Gute,Henderson,FUR-BO-10001798,261.96,2,0.0,41.9136,0
CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,Claire Gute,Henderson,FUR-CH-10000454,731.9399999999999,3,0.0,219.58199999999997,0
CA-2016-138688,2016-06-12,2016-06-16,Second Class,DV-13045,Darrin Van Huff,Los Angeles,OFF-LA-10000240,14.62,2,0.0,6.8713999999999995,0
US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,Sean O'Donnell,Fort Lauderdale,FUR-TA-10000577,957.5775,5,0.45,-383.03100000000006,0
US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,Sean O'Donnell,Fort Lauderdale,OFF-ST-10000760,22.368000000000002,2,0.2,2.516399999999999,0
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Los Angeles,FUR-FU-10001487,48.86,7,0.0,14.169399999999996,0
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Los Angeles,OFF-AR-10002833,7.28,4,0.0,1.9656000000000002,0
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Los Angeles,TEC-PH-10002275,907.152,6,0.2,90.71520000000004,0
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Los Angeles,OFF-BI-10003910,18.504,3,0.2,5.7825,0
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Los Angeles,OFF-AP-10002892,114.9,5,0.0,34.46999999999999,0
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Los Angeles,FUR-TA-10001539,1706.1840000000002,9,0.2,85.3091999999998,0
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Los Angeles,TEC-PH-10002033,911.424,4,0.2,68.35680000000002,0
CA-2017-114412,2017-04-15,2017-04-20,Standard Class,AA-10480,Andrew Allen,Concord,OFF-PA-10002365,15.552000000000003,3,0.2,5.4432,0
CA-2016-161389,2016-12-05,2016-12-10,Standard Class,IM-15070,Irene Maddox,Seattle,OFF-BI-10003656,407.97600000000006,3,0.2,132.59219999999993,0
US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,Harold Pawlan,Fort Worth,OFF-AP-10002311,68.80999999999999,5,0.8,-123.858,0
US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,Harold Pawlan,Fort Worth,OFF-BI-10000756,2.5439999999999996,3,0.8,-3.8160000000000016,0
CA-2014-105893,2014-11-11,2014-11-18,Standard Class,PK-19075,Pete Kriz,Madison,OFF-ST-10004186,665.88,6,0.0,13.317599999999999,0
CA-2014-167164,2014-05-13,2014-05-15,Second Class,AG-10270,Alejandro Grove,West Jordan,OFF-ST-10000107,55.5,2,0.0,9.989999999999995,0
CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Zuschuss Donatelli,San Francisco,OFF-AR-10003056,8.56,2,0.0,2.4823999999999993,1
CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Zuschuss Donatelli,San Francisco,TEC-PH-10001949,213.48000000000002,3,0.2,16.01099999999998,1
CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Zuschuss Donatelli,San Francisco,OFF-BI-10002215,22.72,4,0.2,7.383999999999999,1
CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,Ken Black,Fremont,OFF-AR-10000246,19.459999999999997,7,0.0,5.0596,0
CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,Ken Black,Fremont,OFF-AP-10001492,60.339999999999996,7,0.0,15.688400000000001,0
US-2017-156909,2017-07-16,2017-07-18,Second Class,SF-20065,Sandra Flanagan,Philadelphia,FUR-CH-10002774,71.37199999999999,2,0.3,-1.0196000000000005,0
CA-2015-106320,2015-09-25,2015-09-30,Standard Class,EB-13870,Emily Burns,Orem,FUR-TA-10000577,1044.6299999999999,3,0.0,240.2649,0
CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,Eric Hoffmann,Los Angeles,OFF-BI-10001634,11.648000000000001,2,0.2,4.2224,0
CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,Eric Hoffmann,Los Angeles,TEC-AC-10003027,90.57000000000001,3,0.0,11.774100000000004,0
US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Philadelphia,FUR-BO-10004834,3083.4300000000003,7,0.5,-1665.0522,0
